attack,phf,config,asr,mean_l2,mean_queries,mean_final_dist,min_final_dist,max_final_dist,time_s,time_per_pair_s,n_pairs,per_pair_success,per_pair_dist,per_pair_l2,per_pair_queries
nes_attack,phash,"n_iter=150, n_samples=20, sigma=6.0, lr=3.0",0.0,0.0,6151.0,30.666666666666668,26.0,34.0,16.65,5.55,3,"[0, 0, 0]","[26.0, 34.0, 32.0]","[0.0, 0.0, 0.0]","[6151, 6151, 6151]"
nes_attack,phash,"n_iter=500, n_samples=20, sigma=6.0, lr=3.0",0.0,0.21378190753276646,20501.0,30.0,26.0,32.0,55.32,18.44,3,"[0, 0, 0]","[26.0, 32.0, 32.0]","[0.0, 0.641, 0.0]","[20501, 20501, 20501]"
nes_attack,phash,"n_iter=300, n_samples=20, sigma=30.0, lr=5.0",0.0,0.17897912196961094,12301.0,30.0,26.0,32.0,33.06,11.02,3,"[0, 0, 0]","[26.0, 32.0, 32.0]","[0.0, 0.537, 0.0]","[12301, 12301, 12301]"
nes_attack,phash,"n_iter=300, n_samples=20, sigma=60.0, lr=10.0",0.0,0.2142669261369353,12301.0,30.0,26.0,32.0,33.12,11.04,3,"[0, 0, 0]","[26.0, 32.0, 32.0]","[0.0, 0.643, 0.0]","[12301, 12301, 12301]"
nes_attack,phash,"n_iter=200, n_samples=50, sigma=15.0, lr=5.0",0.0,0.1355447154419322,20201.0,30.0,26.0,32.0,55.13,18.38,3,"[0, 0, 0]","[26.0, 32.0, 32.0]","[0.0, 0.407, 0.0]","[20201, 20201, 20201]"
nes_attack,phash,"n_iter=300, n_samples=30, sigma=100.0, lr=20.0",0.0,0.2165549641348229,18301.0,30.0,26.0,32.0,50.32,16.77,3,"[0, 0, 0]","[26.0, 32.0, 32.0]","[0.0, 0.65, 0.0]","[18301, 18301, 18301]"
simba_attack,phash,"n_iter=200, step_size=12.0",0.0,0.0,401.0,30.666666666666668,26.0,34.0,4.05,1.35,3,"[0, 0, 0]","[26.0, 34.0, 32.0]","[0.0, 0.0, 0.0]","[401, 401, 401]"
simba_attack,phash,"n_iter=400, step_size=30.0",0.0,0.0,801.0,30.666666666666668,26.0,34.0,8.18,2.73,3,"[0, 0, 0]","[26.0, 34.0, 32.0]","[0.0, 0.0, 0.0]","[801, 801, 801]"
simba_attack,phash,"n_iter=400, step_size=60.0",0.0,0.0,801.0,30.666666666666668,26.0,34.0,7.98,2.66,3,"[0, 0, 0]","[26.0, 34.0, 32.0]","[0.0, 0.0, 0.0]","[801, 801, 801]"
simba_attack,phash,"n_iter=600, step_size=100.0",0.0,0.0,1201.0,30.666666666666668,26.0,34.0,11.99,4.0,3,"[0, 0, 0]","[26.0, 34.0, 32.0]","[0.0, 0.0, 0.0]","[1201, 1201, 1201]"
simba_attack,phash,"n_iter=800, step_size=200.0",0.0,0.0,1601.0,30.666666666666668,26.0,34.0,15.83,5.28,3,"[0, 0, 0]","[26.0, 34.0, 32.0]","[0.0, 0.0, 0.0]","[1601, 1601, 1601]"
zo_signsgd_attack,phash,"n_iter=150, n_samples=20, mu=5.0, lr=1.5",0.0,1.5779717512571307,6151.0,30.0,26.0,32.0,16.67,5.56,3,"[0, 0, 0]","[26.0, 32.0, 32.0]","[0.0, 4.734, 0.0]","[6151, 6151, 6151]"
zo_signsgd_attack,phash,"n_iter=300, n_samples=20, mu=30.0, lr=3.0",0.0,15.131756226400526,12301.0,28.0,24.0,30.0,33.56,11.19,3,"[0, 0, 0]","[24.0, 30.0, 30.0]","[14.622, 15.261, 15.512]","[12301, 12301, 12301]"
zo_signsgd_attack,phash,"n_iter=300, n_samples=20, mu=60.0, lr=5.0",0.0,31.424936611006327,12301.0,26.666666666666668,22.0,30.0,33.64,11.21,3,"[0, 0, 0]","[22.0, 30.0, 28.0]","[35.638, 18.709, 39.927]","[12301, 12301, 12301]"
zo_signsgd_attack,phash,"n_iter=200, n_samples=50, mu=30.0, lr=5.0",0.0,16.135098068712413,20201.0,28.0,24.0,30.0,55.29,18.43,3,"[0, 0, 0]","[24.0, 30.0, 30.0]","[16.449, 14.062, 17.894]","[20201, 20201, 20201]"
zo_signsgd_attack,phash,"n_iter=500, n_samples=30, mu=100.0, lr=10.0",1.0,85.13796286437218,13461.666666666666,12.0,12.0,12.0,36.64,12.21,3,"[1, 1, 1]","[12.0, 12.0, 12.0]","[88.478, 81.866, 85.071]","[14397, 12750, 13238]"
prokos_attack,phash,"n_iter=120, n_freq_samples=25, lr=5.0, sigma=3.0",0.0,0.0,6121.0,30.666666666666668,26.0,34.0,20.54,6.85,3,"[0, 0, 0]","[26.0, 34.0, 32.0]","[0.0, 0.0, 0.0]","[6121, 6121, 6121]"
prokos_attack,phash,"n_iter=300, n_freq_samples=25, lr=10.0, sigma=15.0",0.0,0.07171168186483239,15301.0,30.0,26.0,32.0,51.12,17.04,3,"[0, 0, 0]","[26.0, 32.0, 32.0]","[0.0, 0.215, 0.0]","[15301, 15301, 15301]"
prokos_attack,phash,"n_iter=300, n_freq_samples=25, lr=20.0, sigma=30.0",0.0,0.1478966627162543,15301.0,30.0,26.0,32.0,51.84,17.28,3,"[0, 0, 0]","[26.0, 32.0, 32.0]","[0.0, 0.444, 0.0]","[15301, 15301, 15301]"
prokos_attack,phash,"n_iter=200, n_freq_samples=50, lr=10.0, sigma=20.0",0.0,0.07123165690967705,20201.0,30.0,26.0,32.0,68.92,22.97,3,"[0, 0, 0]","[26.0, 32.0, 32.0]","[0.0, 0.214, 0.0]","[20201, 20201, 20201]"
prokos_attack,phash,"n_iter=500, n_freq_samples=30, lr=30.0, sigma=60.0",0.0,1.2333994557322046,30501.0,28.0,24.0,30.0,103.53,34.51,3,"[0, 0, 0]","[24.0, 30.0, 30.0]","[1.122, 1.16, 1.418]","[30501, 30501, 30501]"
atkscopes_attack,phash,"scale=global, n_iter=2000, a=50.0, lr=0.05",0.0,0.0,6001.0,30.666666666666668,26.0,34.0,10.94,3.65,3,"[0, 0, 0]","[26.0, 34.0, 32.0]","[0.0, 0.0, 0.0]","[6001, 6001, 6001]"
atkscopes_attack,phash,"scale=global, n_iter=2000, a=50.0, lr=0.2",0.0,0.0,6001.0,30.666666666666668,26.0,34.0,10.91,3.64,3,"[0, 0, 0]","[26.0, 34.0, 32.0]","[0.0, 0.0, 0.0]","[6001, 6001, 6001]"
